alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtSz,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
,CFG,1,,,,,,,CFG-USDT,SPOT,,1626310800000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,CFX,1,,,,,,,CFX-USDT,SPOT,5,1614718800000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.00001,
,CGS,1,,,,,,,CGS-USDT,SPOT,,1631257145000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.0001,
,CHAT,1,,,,,,,CHAT-USDT,SPOT,,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,100,,USDT,,live,,0.000001,
,CHE,1,,,,,,,CHE-USDT,SPOT,,1632380102000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.00001,
,CHZ,1,,,,,,,CHZ-USDT,SPOT,5,1614754800000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.00001,
,CITY,1,,,,,,,CITY-USDT,SPOT,,1664176306000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.0001,
,CLV,1,,,,,,,CLV-USDT,SPOT,5,1627534800000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,CMT,1,,,,,,,CMT-USDT,SPOT,,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,100,,USDT,,live,,0.00001,
,CNTM,1,,,,,,,CNTM-USDT,SPOT,,1600390800000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,5,,USDT,,live,,0.0001,
,COMP,1,,,,,,,COMP-USDT,SPOT,5,1593379982000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.001,,USDT,,live,,0.01,
,CONV,1,,,,,,,CONV-USDT,SPOT,5,1616679900000,0.000001,999999999999,999999999999,999999,999999,999999999999,999999999999,10,,USDT,,live,,0.000001,
,COVER,1,,,,,,,COVER-USDT,SPOT,,1610424000000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.001,,USDT,,live,,0.01,
,CQT,1,,,,,,,CQT-USDT,SPOT,5,1624410000000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,CRO,1,,,,,,,CRO-USDT,SPOT,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.0001,
,CRV,1,,,,,,,CRV-USDT,SPOT,5,1597346595000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.001,
,CSPR,1,,,,,,,CSPR-USDT,SPOT,5,1620730802000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.00001,
,CTC,1,,,,,,,CTC-USDT,SPOT,,1586478421000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,CTXC,1,,,,,,,CTXC-USDT,SPOT,,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.0001,
