alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtSz,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
,ONT,1,,,,,,,ONT-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,OP,1,,,,,,,OP-USDT,MARGIN,5,1654017130000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.0001,
,PEOPLE,1,,,,,,,PEOPLE-USDT,MARGIN,5,1637910407000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,PERP,1,,,,,,,PERP-USDT,MARGIN,5,1615367068000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,QTUM,1,,,,,,,QTUM-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,REN,1,,,,,,,REN-USDT,MARGIN,5,1598569247000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,RSR,1,,,,,,,RSR-USDT,MARGIN,5,1598569278000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,RSS3,1,,,,,,,RSS3-USDT,MARGIN,5,1644810506000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.0001,
,RVN,1,,,,,,,RVN-USDT,MARGIN,5,1582074000000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,SAND,1,,,,,,,SAND-USDT,MARGIN,5,1616029200000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,SHIB,1,,,,,,,SHIB-USDT,MARGIN,5,1620452410000,1,9999999999999999,9999999999999999,1000000,1000000,9999999999999999,9999999999999999,50000,,USDT,,live,,0.00000001,
,SKL,1,,,,,,,SKL-USDT,MARGIN,5,1617008400000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,SLP,1,,,,,,,SLP-USDT,MARGIN,5,1629354835000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,SNT,1,,,,,,,SNT-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,SNX,1,,,,,,,SNX-USDT,MARGIN,5,1595543578000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,STARL,1,,,,,,,STARL-USDT,MARGIN,5,1635146385000,1,9999999999999999,9999999999999999,1000000,1000000,9999999999999999,9999999999999999,100000,,USDT,,live,,0.000000001,
,STORJ,1,,,,,,,STORJ-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,SUSHI,1,,,,,,,SUSHI-USDT,MARGIN,5,1598919600000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,SWEAT,1,,,,,,,SWEAT-USDT,MARGIN,5,1663052031000,0.01,9999999999999999,9999999999999999,1000000,1000000,9999999999999999,9999999999999999,1,,USDT,,live,,0.0000001,
,SWRV,1,,,,,,,SWRV-USDT,MARGIN,5,1599681629000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,THETA,1,,,,,,,THETA-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,TON,1,,,,,,,TON-USDT,MARGIN,5,1651204987000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.001,
,TRB,1,,,,,,,TRB-USDT,MARGIN,5,1598569262000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,TRX,1,,,,,,,TRX-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,UMA,1,,,,,,,UMA-USDT,MARGIN,5,1598828400000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,UNI,1,,,,,,,UNI-USDT,MARGIN,5,1600280910000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,USDC,1,,,,,,,USDC-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,USTC,1,,,,,,,USTC-USDT,MARGIN,5,1653637997000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,100,,USDT,,live,,0.00001,
,WAVES,1,,,,,,,WAVES-USDT,MARGIN,5,1548133413000,0.00000001,9999999999,9999999999,1000000,1000000,9999999999,9999999999,0.1,,USDT,,live,,0.001,
,XCH,1,,,,,,,XCH-USDT,MARGIN,5,1620064872000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,XLM,1,,,,,,,XLM-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.00001,
,XMR,1,,,,,,,XMR-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,XRP,1,,,,,,,XRP-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.00001,
,XTZ,1,,,,,,,XTZ-USDT,MARGIN,5,1573088404000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,YFI,1,,,,,,,YFI-USDT,MARGIN,5,1598569239000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.0005,,USDT,,live,,1,
,YFII,1,,,,,,,YFII-USDT,MARGIN,5,1598569254000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.001,,USDT,,live,,0.1,
,YGG,1,,,,,,,YGG-USDT,MARGIN,5,1627482600000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,ZEC,1,,,,,,,ZEC-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,ZEN,1,,,,,,,ZEN-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,ZIL,1,,,,,,,ZIL-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,ZRX,1,,,,,,,ZRX-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,BTC,1,,,,,,,BTC-USDC,MARGIN,5,1585176747000,0.00000001,9999999999,9999999999,1000000,1000000,9999999999,9999999999,0.00001,,USDC,,live,,0.1,
,ETH,1,,,,,,,ETH-USDC,MARGIN,5,1585176747000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.001,,USDC,,live,,0.01,
,ETH,1,,,,,,,ETH-BTC,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.001,,BTC,,live,,0.00001,
,LTC,1,,,,,,,LTC-USDC,MARGIN,5,1585176747000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDC,,live,,0.01,
,DOT,1,,,,,,,DOT-USDC,MARGIN,5,1653286331000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDC,,live,,0.001,
,DOGE,1,,,,,,,DOGE-USDC,MARGIN,5,1653286331000,0.01,9999999999999999,9999999999999999,1000000,1000000,9999999999999999,9999999999999999,10,,USDC,,live,,0.00001,
,SOL,1,,,,,,,SOL-USDC,MARGIN,5,1653286331000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDC,,live,,0.001,
,APT,1,,,,,,,APT-USDC,MARGIN,5,1666141200000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDC,,live,,0.0001,
,AAVE,1,,,,,,,AAVE-USDC,MARGIN,5,1654585175000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,0.01,,USDC,,live,,0.01,
